pool,pool_name,pool_address,tf,sl_opt,exit_mode,trades,TP,SL,BE,EXP,win_rate_resolved_pct,sl_rate_resolved_pct,be_rate_pct,be_gate_hit,be_gate_recovered,be_gate_recovery_rate_pct,ever_floating_loss,ever_floating_loss_pct,deep50_loss,deep50_then_recovered_entry,deep50_recovery_rate_pct,deep75_loss,deep75_then_recovered_entry,deep75_recovery_rate_pct,max_consec_win,min_consec_win,max_consec_loss,min_consec_loss,avg_bars_held,avg_minutes_held,avg_R,sum_R
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,15m,O1_SL50,TP_FRACTAL,3,1,2,0,0,33.33333333333333,66.66666666666666,0.0,3,0,0.0,3,100.0,2,0,0.0,2,0,0.0,1,1,1,1,12.0,180.0,-0.5109783856980727,-1.5329351570942182
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,15m,O2_ST2X,TP_FRACTAL,3,1,2,0,0,33.33333333333333,66.66666666666666,0.0,3,0,0.0,3,100.0,2,0,0.0,2,0,0.0,1,1,1,1,18.666666666666668,280.0,-0.3766390641862964,-1.1299171925588891
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,1m,O1_SL50,TP_FRACTAL,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,39.0,39.0,-1.0,-1.0
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,1m,O2_ST2X,TP_FRACTAL,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,13.0,13.0,-1.0,-1.0
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,5m,O1_SL50,TP_FRACTAL,4,1,3,0,0,25.0,75.0,0.0,3,0,0.0,3,75.0,3,0,0.0,3,0,0.0,1,1,2,1,20.75,103.75,-0.7334153495134386,-2.9336613980537543
Shadow-SOL [AMKGeQ...sKnq],Shadow-SOL,AMKGeQR2JMdiR9aGfBezaPrWRMW2JppZTa1jw1KosKnq,5m,O2_ST2X,TP_FRACTAL,4,1,3,0,0,25.0,75.0,0.0,3,0,0.0,3,75.0,3,0,0.0,3,0,0.0,1,1,2,1,18.75,93.75,-0.7413239404757852,-2.965295761903141
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,15m,O1_SL50,TP_FRACTAL,9,3,6,0,0,33.33333333333333,66.66666666666666,0.0,7,0,0.0,7,77.77777777777779,6,0,0.0,6,0,0.0,2,1,4,1,60.44444444444444,906.6666666666666,-0.5691602750869335,-5.122442475782401
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,15m,O2_ST2X,TP_FRACTAL,9,3,6,0,0,33.33333333333333,66.66666666666666,0.0,7,0,0.0,7,77.77777777777779,6,0,0.0,6,0,0.0,2,1,4,1,33.666666666666664,505.0,-0.5159069901142249,-4.643162911028024
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,1m,O1_SL50,TP_FRACTAL,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,1.0,1.0,-1.0,-1.0
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,1m,O2_ST2X,TP_FRACTAL,1,0,1,0,0,0.0,100.0,0.0,1,0,0.0,1,100.0,1,0,0.0,1,0,0.0,0,0,1,1,1.0,1.0,-1.0,-1.0
RICH-SOL [BGRTiY...Fwi3],RICH-SOL,BGRTiYMPfpfYANXxbAsgTW7KMPt6DTjahEytAZDvFwi3,5m,O1_SL50,TP_FRACTAL,2,2,0,0,0,100.0,0.0,0.0,2,0,0.0,2,100.0,0,0,0.0,0,0,0.0,2,2,0,0,10.5,52.5,0.42376188472639265,0.8475237694527853
