mode,opt,combo_mode,tp_ratio,trail_variant,entry_date,entry,sl,sl_pct,tp_pct,apct,outcome,bars,R
RAW,O1,A,1x,,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,A,1x,,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,A,1x,,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,A,1x,,2021-09-19,47241.75,51965.92,10.0,-10.0,5.03,TP,1,1.0
RAW,O1,A,1x,,2021-10-08,53951.43,59346.57,10.0,-10.0,4.86,SL,7,-1.0
RAW,O1,A,1x,,2021-11-04,61395.01,67534.51,10.0,-10.0,4.73,SL,4,-1.0
RAW,O1,A,1x,,2021-12-10,47140.54,51854.59,10.0,-10.0,6.79,SL,17,-1.0
RAW,O1,A,1x,,2021-12-27,50701.44,55771.58,10.0,-10.0,5.43,TP,8,1.0
RAW,O1,A,1x,,2021-12-27,50701.44,55771.58,10.0,-10.0,5.43,TP,8,1.0
RAW,O1,A,1x,,2022-01-17,42201.62,46421.78,10.0,-10.0,5.6,TP,4,1.0
RAW,O1,A,1x,,2022-03-04,39148.66,43063.53,10.0,-10.0,6.26,SL,18,-1.0
RAW,O1,A,1x,,2022-03-04,39148.66,43063.53,10.0,-10.0,6.26,SL,18,-1.0
RAW,O1,A,1x,,2022-03-21,41002.25,45102.48,10.0,-10.0,5.34,SL,6,-1.0
RAW,O1,A,1x,,2022-04-22,39709.18,43680.1,10.0,-10.0,4.75,TP,13,1.0
RAW,O1,A,1x,,2022-04-22,39709.18,43680.1,10.0,-10.0,4.75,TP,13,1.0
RAW,O1,A,1x,,2022-05-18,28715.32,31586.85,10.0,-10.0,7.16,SL,12,-1.0
RAW,O1,A,1x,,2022-06-02,30452.62,33497.88,10.0,-10.0,6.01,TP,10,1.0
RAW,O1,A,1x,,2022-06-09,30109.93,33120.92,10.0,-10.0,5.71,TP,3,1.0
RAW,O1,A,1x,,2022-06-27,20742.56,22816.82,10.0,-10.0,8.4,TP,3,1.0
RAW,O1,A,1x,,2022-07-10,20862.47,22948.72,10.0,-10.0,7.3,SL,9,-1.0
RAW,O1,A,1x,,2022-07-21,23152.19,25467.41,10.0,-10.0,6.28,TP,5,1.0
RAW,O1,A,1x,,2022-08-01,23268.01,25594.81,10.0,-10.0,5.83,TP,18,1.0
RAW,O1,A,1x,,2022-08-15,24094.82,26504.3,10.0,-10.0,4.99,TP,4,1.0
RAW,O1,A,1x,,2022-09-13,20173.57,22190.93,10.0,-10.0,5.27,TP,8,1.0
RAW,O1,A,1x,,2022-10-19,19123.97,21036.37,10.0,-10.0,4.18,SL,10,-1.0
RAW,O1,A,1x,,2022-10-19,19123.97,21036.37,10.0,-10.0,4.18,SL,10,-1.0
RAW,O1,A,1x,,2022-11-20,16280.23,17908.25,10.0,-10.0,5.23,SL,23,-1.0
RAW,O1,A,1x,,2022-11-28,16212.91,17834.2,10.0,-10.0,4.68,SL,15,-1.0
RAW,O1,A,1x,,2022-12-28,16547.31,18202.04,10.0,-10.0,3.15,SL,15,-1.0
RAW,O1,A,1x,,2023-01-17,21134.81,23248.29,10.0,-10.0,2.53,SL,4,-1.0
RAW,O1,A,1x,,2023-02-21,24452.16,26897.38,10.0,-10.0,3.32,TP,10,1.0
RAW,O1,A,1x,,2023-03-22,27250.97,29976.07,10.0,-10.0,4.08,SL,20,-1.0
RAW,O1,A,1x,,2023-05-01,28068.26,30875.09,10.0,-10.0,3.81,TP,44,1.0
RAW,O1,A,1x,,2023-05-19,26880.26,29568.29,10.0,-10.0,3.7,SL,33,-1.0
RAW,O1,A,1x,,2023-05-31,27210.35,29931.38,10.0,-10.0,3.37,SL,21,-1.0
RAW,O1,A,1x,,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,A,1x,,2023-08-04,29113.99,32025.39,10.0,-10.0,2.61,TP,13,1.0
RAW,O1,A,1x,,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,A,1x,,2023-10-03,27426.46,30169.11,10.0,-10.0,2.5,SL,17,-1.0
RAW,O1,A,1x,,2023-10-28,34081.0,37489.1,10.0,-10.0,2.77,SL,12,-1.0
RAW,O1,A,1x,,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,A,1x,,2024-01-31,42580.0,46838.0,10.0,-10.0,3.8,SL,9,-1.0
RAW,O1,A,1x,,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,A,1x,,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,A,1x,,2024-03-30,69582.18,76540.4,10.0,-10.0,4.44,TP,14,1.0
RAW,O1,A,1x,,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,A,1x,,2024-04-25,64498.34,70948.17,10.0,-10.0,5.04,TP,6,1.0
RAW,O1,A,1x,,2024-05-08,61193.03,67312.33,10.0,-10.0,5.0,SL,9,-1.0
RAW,O1,A,1x,,2024-05-22,69166.62,76083.28,10.0,-10.0,4.14,TP,33,1.0
RAW,O1,A,1x,,2024-06-08,69310.46,76241.51,10.0,-10.0,3.57,TP,16,1.0
RAW,O1,A,1x,,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,A,1x,,2024-07-03,60208.58,66229.44,10.0,-10.0,3.57,TP,2,1.0
RAW,O1,A,1x,,2024-07-18,63987.92,70386.71,10.0,-10.0,3.72,TP,17,1.0
