ts,open,high,low,close,volume
1784440800,4.124131439616e-06,4.289096697201e-06,3.965510999631e-06,3.965510999631e-06,831.1625713830095
1784442600,4.124131439616e-06,4.8246504672e-06,4.124131439616e-06,4.8246504672e-06,1310.958046861312
1784444400,4.8246504672e-06,5.427075623136e-06,4.8246504672e-06,5.218341945323e-06,645.5297719944689
1784446200,5.017636485888e-06,5.017636485888e-06,4.460660565089e-06,4.8246504672e-06,1045.512611609393
1784448000,4.8246504672e-06,4.8246504672e-06,4.124131439616e-06,4.460660565089e-06,1106.1898760744164
1784449800,4.639086987692e-06,5.427075623136e-06,4.460660565089e-06,5.427075623136e-06,739.2427886109299
1784451600,5.218341945323e-06,5.218341945323e-06,5.017636485888e-06,5.218341945323e-06,571.8614490263456
1784453400,5.218341945323e-06,5.218341945323e-06,4.460660565089e-06,4.8246504672e-06,1123.165132619657
1784455200,4.8246504672e-06,4.8246504672e-06,3.812991345799e-06,3.965510999631e-06,1808.2874265578048
1784457000,3.965510999631e-06,4.124131439616e-06,3.965510999631e-06,4.124131439616e-06,309.4466708276516
