timestamp_close_bar,side,b_val,b_bar_time,a_val,c_val,c_bar_time,retrace_pct,atr14,st_trend,filter_tag,break_price
2026-03-02 16:00,bull,68199.99,2026-03-01 00:00,63030.0,65056.0,2026-03-01 20:00,60.8,1506.01252239,1,ATR Str A1 A2 C2,69617.74
2026-03-04 12:00,bull,70096.0,2026-03-02 16:00,65056.0,66158.0,2026-03-03 12:00,78.1,1587.4293653,1,ATR Str A1 A2 C2,71893.0
2026-03-17 00:00,bull,73913.74,2026-03-13 12:00,68977.91,70317.0,2026-03-14 04:00,72.9,1049.95346078,1,ATR Str A1 A2 C2,74909.08
2026-04-01 08:00,bull,68408.37,2026-03-31 00:00,65000.0,65998.05,2026-03-31 08:00,70.7,1056.23389563,1,ATR Str A1 A2 C2,69310.0
2026-04-06 00:00,bull,67430.99,2026-04-02 16:00,65998.05,66611.66,2026-04-05 04:00,57.2,711.52946593,1,ATR Str A1 A2 C2,69136.2
2026-04-08 00:00,bull,70351.46,2026-04-06 16:00,66611.66,67732.01,2026-04-07 12:00,70.0,1063.44223005,1,ATR Str A1 A2 C2,72761.0
2026-04-11 20:00,bull,73145.0,2026-04-09 20:00,70466.0,71426.15,2026-04-10 08:00,64.2,852.5366438,1,ATR Str A1 A2 C2,73790.0
2026-04-22 04:00,bull,76927.57,2026-04-21 08:00,73724.31,74821.57,2026-04-21 16:00,65.7,1058.1463083,1,ATR Str A1 A2 C2,77733.11
2026-05-04 04:00,bull,79472.82,2026-04-22 16:00,74821.57,76960.0,2026-04-23 16:00,54.0,718.51252734,1,ATR Str A1 A2 C2,80458.0
2026-05-13 16:00,bear,79843.59,2026-05-12 16:00,82479.32,81324.64,2026-05-13 08:00,56.2,804.01917159,-1,ATR Str A1 A2 C2,78807.22
2026-05-13 16:00,bear,80279.77,2026-05-10 20:00,82850.0,82137.26,2026-05-11 16:00,72.3,804.01917159,-1,ATR Str A1 A2 C2,78807.22
2026-05-13 16:00,bear,79181.48,2026-05-08 00:00,82850.0,81080.0,2026-05-09 16:00,51.8,804.01917159,-1,ATR Str A1 A2 C2,78807.22
2026-05-22 20:00,bear,76719.47,2026-05-21 12:00,78599.99,78098.16,2026-05-21 16:00,73.3,746.46049693,-1,ATR Str A1 A2 C2,75668.76
2026-06-14 00:00,bull,64234.68,2026-06-07 20:00,59130.91,60780.0,2026-06-09 16:00,67.7,745.84407347,1,ATR Str A1 A2 C2,64762.77
2026-06-23 08:00,bear,63270.0,2026-06-21 20:00,66445.93,65622.83,2026-06-22 12:00,74.1,772.04272407,-1,ATR Str A1 A2 C2,62568.9
2026-06-24 16:00,bear,62272.07,2026-06-18 16:00,66445.93,64588.0,2026-06-21 04:00,55.5,896.34521741,-1,ATR Str A1 A2 C2,60249.82
2026-06-30 16:00,bear,59102.7,2026-06-24 16:00,63239.06,61962.4,2026-06-25 04:00,69.1,833.34697413,-1,ATR Str A1 A2 C2,58201.0
2026-07-02 12:00,bull,60941.17,2026-06-27 12:00,58115.01,58900.01,2026-06-29 00:00,72.2,1002.1597497,1,ATR Str A1 A2 C2,61437.49
