timestamp_close_bar,side,b_val,b_bar_time,a_val,c_val,c_bar_time,retrace_pct,atr14,st_trend,filter_tag,break_price
2026-05-10 13:00,bull,80887.15,2026-05-10 03:00,80572.77,80658.97,2026-05-10 06:00,72.6,176.96203638,1,ATR Str A1 A2 C2,80950.0
2026-05-10 16:00,bull,81080.0,2026-05-09 18:00,80135.0,80572.77,2026-05-10 01:00,53.7,198.32148831,1,ATR Str A1 A2 C2,81442.81
2026-05-13 13:00,bear,80412.15,2026-05-13 00:00,82137.26,81299.99,2026-05-13 03:00,51.5,347.35353552,-1,ATR Str A1 A2 C2,79852.0
2026-05-14 15:00,bull,79998.0,2026-05-14 05:00,78922.0,79230.31,2026-05-14 12:00,71.3,459.23127764,1,ATR Str A1 A2 C2,81020.0
2026-05-18 15:00,bear,76707.61,2026-05-18 02:00,78485.36,77800.0,2026-05-18 12:00,61.4,429.37035784,-1,ATR Str A1 A2 C2,76230.02
2026-05-21 01:00,bull,77853.04,2026-05-20 15:00,76516.74,77018.38,2026-05-20 16:00,62.5,362.38243418,1,ATR Str A1 A2 C2,78071.42
2026-05-22 09:00,bear,77327.28,2026-05-22 01:00,78098.16,77900.0,2026-05-22 04:00,74.3,306.54258382,-1,ATR Str A1 A2 C2,77216.0
2026-05-29 17:00,bull,73949.22,2026-05-28 22:00,72582.82,73189.11,2026-05-29 02:00,55.6,448.65755707,1,ATR Str A1 A2 C2,74124.73
2026-06-01 07:00,bear,73216.0,2026-05-30 04:00,74514.1,74100.0,2026-05-30 14:00,68.1,328.34859855,-1,ATR Str A1 A2 C2,72950.01
2026-06-05 03:00,bear,63106.04,2026-06-04 21:00,64494.92,63978.0,2026-06-05 00:00,62.8,747.92362746,-1,ATR Str A1 A2 C2,62588.77
2026-06-05 14:00,bear,61126.01,2026-06-05 06:00,64494.92,63259.9,2026-06-05 09:00,63.3,919.07648728,-1,ATR Str A1 A2 C2,60732.35
2026-06-05 14:00,bear,61383.56,2026-06-04 02:00,67516.0,64764.32,2026-06-04 04:00,55.1,919.07648728,-1,ATR Str A1 A2 C2,60732.35
2026-06-08 00:00,bull,62960.0,2026-06-07 08:00,60393.96,61577.12,2026-06-07 12:00,53.9,660.9149321,1,ATR Str A1 A2 C2,63444.11
2026-06-12 15:00,bull,63863.98,2026-06-12 04:00,62348.0,62829.81,2026-06-12 06:00,68.2,435.23097481,1,ATR Str A1 A2 C2,64000.0
2026-06-13 22:00,bull,64394.44,2026-06-12 15:00,63045.29,63400.0,2026-06-12 20:00,73.7,255.04352688,1,ATR Str A1 A2 C2,64762.77
2026-06-17 09:00,bear,65360.92,2026-06-16 14:00,66992.0,66248.69,2026-06-16 18:00,54.4,372.08645145,-1,ATR Str A1 A2 C2,64833.07
2026-06-20 00:00,bull,63419.27,2026-06-19 14:00,62316.44,62866.99,2026-06-19 17:00,50.1,355.23332338,1,ATR Str A1 A2 C2,63666.0
2026-06-22 13:00,bull,64823.52,2026-06-22 01:00,63270.0,63868.41,2026-06-22 04:00,61.5,388.04676708,1,ATR Str A1 A2 C2,65222.45
2026-06-25 14:00,bear,59102.7,2026-06-24 17:00,63239.06,61276.0,2026-06-24 22:00,52.5,652.05756936,-1,ATR Str A1 A2 C2,58115.01
2026-06-28 17:00,bear,59753.48,2026-06-28 05:00,60941.17,60545.01,2026-06-28 08:00,66.6,293.71499871,-1,ATR Str A1 A2 C2,59582.34
2026-07-02 11:00,bull,61121.78,2026-07-02 03:00,59588.0,60104.0,2026-07-02 07:00,66.4,501.71900405,1,ATR Str A1 A2 C2,61350.0
2026-07-02 13:00,bull,61334.0,2026-07-01 22:00,58326.0,59588.0,2026-07-02 00:00,58.0,483.3507739,1,ATR Str A1 A2 C2,61614.0
2026-07-03 11:00,bull,61733.11,2026-07-03 01:00,61108.99,61294.0,2026-07-03 02:00,70.4,350.83377243,1,ATR Str A1 A2 C2,62038.0
2026-07-05 22:00,bull,62943.59,2026-07-05 15:00,62436.59,62590.02,2026-07-05 16:00,69.7,255.89199489,1,ATR Str A1 A2 C2,63220.0
2026-07-05 23:00,bull,63461.99,2026-07-04 19:00,62328.24,62596.08,2026-07-05 02:00,76.4,306.14542383,1,ATR Str A1 A2 C2,63964.48
2026-07-08 06:00,bear,62800.0,2026-07-07 05:00,64700.0,64243.75,2026-07-07 16:00,76.0,442.47121208,-1,ATR Str A1 A2 C2,62558.0
2026-07-10 02:00,bull,63500.0,2026-07-09 18:00,62465.39,62926.01,2026-07-10 00:00,55.5,402.70191081,1,ATR Str A1 A2 C2,63999.99
2026-07-10 02:00,bull,63283.26,2026-07-09 07:00,61705.29,62465.39,2026-07-09 12:00,51.8,402.70191081,1,ATR Str A1 A2 C2,63999.99
